video_id,title,published_at,length_sec,impressions,ctr_pct,premium_views,premium_watch_hours,like_ratio_pct,retention_pct,unique_viewers,avg_view_pct,watch_hours,revenue_jpy,views,rpm_jpy,is_published,year,length_bin
bv2iwq17LVY,【フレンとこ①】初コラボから尊敬する仲良し(神)になるまでの最高に「てえてえ」総集編(他のライバー反応あり)【にじさんじ/切り抜き/戍亥とこ/フレン・E・ルスタリオ/】,2024-02-22,3643.0,21147529,3.14,512947,149382.2231,98.48,100.0,,27.75,391680.9063,775069.804,1395062,555.558,True,2024,>60分
8zzMPgZ6bC8,【グロ注意】開始３か月で累計30万突っ込んだアンジュのガチャ配信爆速まとめ【にじさんじ切り抜き】【アンジュ・カトリーナ】,2023-12-29,2849.0,29576551,2.35,298242,77165.0885,96.71,100.0,,29.89,259330.5491,413497.724,1096327,377.222,True,2023,40–60分
yeahBDJu-Xg,【ベルアン捏造①】初コラボから当たりまくるアンジュ出会い（遭遇）編【にじさんじ切り抜き】,2023-03-10,1344.0,12006792,3.58,142781,20941.3532,98.72,100.0,,35.34,86574.9433,148934.198,656206,226.782,True,2023,20–40分
4ZYJdZRvDwo,【イブアン①】初コラボからライバーの反応まで…劇薬てえてえ版【にじさんじ切り抜き】,2023-03-31,1891.0,10496627,3.65,169408,30161.4619,99.02,100.0,,33.16,109133.8831,210439.494,626601,335.8,True,2023,20–40分
4isid3PNoA8,【ベルアン捏造②】とにかくイチャつくアンジュとツンデレなベルさんの尊い関係編【にじさんじ切り抜き】,2023-06-16,1437.0,5626983,4.14,100695,17389.0777,98.55,100.0,,41.35,65011.1564,142661.196,393922,362.142,True,2023,20–40分
27WNi57l-L8,【10分でわかる】さんばかてえてえまとめ①【アンジュ・カトリーナ/リゼ・ヘルエスタ/戌亥とこ/にじさんじ】,2024-06-28,3101.0,7089068,3.33,134041,36038.2408,98.66,,,29.1,97680.1755,261987.857,389739,672.702,True,2024,40–60分
IfqMm5O2yKI,【グロ注意】開始７か月で累計56万突っ込んだアンジュのガチャ配信爆速まとめ【にじさんじ切り抜き】【アンジュ・カトリーナ】,2024-12-13,4094.0,7924489,3.2,115661,36632.2332,96.35,100.0,,26.83,115161.8187,219964.266,377453,582.953,True,2024,>60分
ROzfh_3D5Jo,【リゼるり①】初コラボから姉妹(?)になるまでの最高に「てえてえ」総集編【にじさんじ/切り抜き/リゼ・ヘルエスタ/栞葉るり】,2025-05-23,3704.0,6135440,2.64,126182,42561.0542,98.45,100.0,,31.21,93464.2843,199195.876,291055,684.561,True,2025,>60分
aZ-PiV22CFs,【笹ベルアン争奪戦】笹木&アンジュに板挟み(意味深)になるベルさん編【にじさんじ切り抜き】,2023-06-02,1771.0,4074296,3.86,73943,15319.4252,98.36,100.0,,40.2,54114.7281,118166.077,273667,431.8,True,2023,20–40分
E_nP6_LUwjE,【微グロ注意】見える世界が二人で変わる話題の最新ゲーム 2視点を比較【 違う冬のぼくら/戌亥とこ/アンジュ・カトリーナ/切り抜き/にじさんじ 】,2023-04-12,806.0,3469339,4.1,34086,3665.1069,98.44,100.0,,36.1,15131.5846,6327.998,187239,33.812,True,2023,10–20分
tHjMQ8sV3QE,【みこアン①】からかい上手のみこと様と照れるアンジュまとめ/初デート編【にじさんじ/アンジュ・カトリーナ/竜胆尊/切り抜き】,2023-04-28,1649.0,2849835,3.42,55295,10154.5932,98.86,,,39.49,30137.6735,,166598,,True,2023,20–40分
tiGERav_1iQ,【アンマリその１】初コラボで殴り合うアンジュとマリン船長【にじさんじ/ホロライブ切り抜き】,2023-02-24,907.0,3712172,2.9,40374,3874.9242,98.86,,,37.28,14789.2533,10562.797,157473,67.043,True,2023,10–20分
UmG9xMcpWAE,【熟年夫婦?】アンジュとサロメが見る酔っ払い新年配信が湿度高めで面白い【にさんじ/切り抜き】,2025-01-05,288.0,2740909,4.36,54468,2558.8531,98.95,69.23,,55.98,6795.6895,28402.369,151745,187.157,True,2025,≤5分
bP_Vn19u6Y4,【てえてえ注意】とにかくイチャつくみこアンまとめ②【にじさんじ切り抜き/アンジュ・カトリーナ/竜胆尊】,2023-05-04,2116.0,1378722,4.53,40629,10061.4752,99.09,,,41.2,29511.666,49960.424,121856,409.998,True,2023,20–40分
gufD7_XysaE,【劇場版ベルアン捏造①】出会い(遭遇)から結婚(捏造)までのてぇてぇやりとり総まとめ①【にじさんじ/アンジュカトリーナ/ベルモンドバンデラス】,2025-11-14,3996.0,1975129,3.3,33128,11844.4293,98.17,,,30.55,34293.3799,79620.955,101130,793.219,True,2025,>60分
L5nY1arYJ1M,【劇場版パパ?】初コラボから振り回される夢追パパと星川サラ(娘)の夢星家総まとめ,2026-03-27,2913.0,2795789,2.64,34273,9580.7897,99.27,,,31.49,25111.2541,58665.744,98557,599.657,True,2026,40–60分
6zA8ajECkDA,"【おめでとう🎉✨】３D版ツボおじクリアまでのまとめ/２日間で""てっぺんの景色""を見せくれたアンジュ【 OnlyUp!/アンジュ・カトリーナ/切り抜き/にじさんじ 】",2023-06-17,1127.0,1208068,4.35,18810,2484.4461,97.64,,,39.94,8597.3963,17249.464,68763,250.862,True,2023,10–20分
BtP5GcSnRvA,リスナーと一方的に結婚しイマジナリーな「しげみ」を出産し看取られるアンジュ・カトリーナ狂気まとめ①【アンジュ・カトリーナ/にじさんじ切り抜き】,2024-03-29,1617.0,714354,2.9,23672,5013.534,98.95,,,45.88,11479.0252,25422.129,55705,456.593,True,2024,20–40分
XsefWP-oKek,【劇場版てぇてぇ】初配信から100万人到達までのリゼアン総まとめ【にじさんじ/アンジュ・カトリーナ/リゼ・ヘルエスタ】,2026-04-11,4466.0,1181222,2.61,19086,6224.4888,99.45,,,25.49,14152.8126,22977.388,44764,515.222,True,2026,>60分
g5UgDFXpIYk,【てぇてえ総集編①】初コラボから夫婦(?)のようになるまでの最高にかわいい総まとめ編【にじさんじ切り抜き/アンジュ・カトリーナ/壱百満天原サロメ】,2025-10-12,3417.0,600754,3.75,14601,4899.4103,98.08,,,34.2,11810.1597,23161.409,36378,637.483,True,2025,40–60分
mK8tLKPPgT0,【爆笑😆】プレイほど味が出る！天才弁護士アンジュカトリーナの逆転裁判まとめ【 アンジュ・カトリーナ/切り抜き/にじさんじ 】,2023-06-27,617.0,535041,4.59,8481,737.015,95.35,,,43.23,2568.9106,5429.793,32017,169.599,True,2023,10–20分
7Wp6dxj0J5o,【10分でわかる】皇女と美大生の出会いと別れそして復活まとめ①【にじさんじ/リゼへルエスタ/鈴原るる】,2026-03-20,2917.0,806323,2.96,12084,2768.8033,99.3,,,25.31,6496.2,21367.232,31680,675.812,True,2026,40–60分
sPtG_pnU-xw,【てぇてえ総集編②】初コラボから最高にてぇてぇ関係になるまでの総まとめ編【にじさんじ切り抜き/アンジュ・カトリーナ/壱百満天原サロメ】,2025-10-31,1717.0,312257,4.3,10806,2510.6652,99.22,,,47.04,5814.5628,15475.061,25917,599.107,True,2025,20–40分
06cMtCNFOTI,【激かわ】デビューした新人にカトリーナ面接をさせご満悦のアンジュまとめ【にじさんじ切り抜き/アンジュ・カトリーナ】,2023-12-09,233.0,134884,3.8,3347,100.1185,99.48,100.0,,46.48,322.7955,1731.426,10732,161.481,True,2023,≤5分
7FyovEYud1A,【10分でわかる】皇女と美大生の出会いと別れそして復活まとめ①【にじさんじ/リゼへルエスタ/鈴原るる】,2026-03-19,2939.0,13720,4.98,420,104.2845,100.0,,,27.29,206.0839,909.812,925,983.579,True,2026,40–60分
vp72-fovks4,【100万人懺悔!?】記念配信でずっと言えなかったデビュー時の嘘を泣きながら謝る配信に...【にじさんじ／アンジュ・カトリーナ】,2026-04-08,271.0,673,7.28,35,1.0677,100.0,,,43.73,2.502,10.509,76,138.276,True,2026,≤5分
cbEDMw-fPWc,【リゼるりてぇてぇ①】初コラボから姉妹(?)になるまでの最高に「てえてえ」総集編【にじさんじ/切り抜き/リゼ・ヘルエスタ/栞葉るり】,2025-05-23,3704.0,718,0.0,4,0.0285,100.0,,,1.78,0.0916,0.62,5,124.0,True,2025,>60分
