video_id,title,minutes,avg_watch_min,monetized_fill,ads_per_monetized_play,slots_conservative,slots_aggressive,cpm_jpy,est_revenue_jpy,net_conservative,uplift_conservative_pct,net_aggressive,uplift_aggressive_pct,recommend_action
bv2iwq17LVY,【フレンとこ①】初コラボから尊敬する仲良し(神)になるまでの最高に「てえてえ」総集編(他のライバー反応あり)【にじさんじ/切り抜き/戍亥とこ/フレン・E・ルスタリオ/】,60.71666666666667,16.833333333333332,0.5696929598827866,2.3938952409352794,4,5,478.296,775439.244,1006409.8639321305,29.785779056099805,1116129.5377069502,43.935136936008654,Add 2+ mid-rolls
8zzMPgZ6bC8,【グロ注意】開始３か月で累計30万突っ込んだアンジュのガチャ配信爆速まとめ【にじさんじ切り抜き】【アンジュ・カトリーナ】,47.483333333333334,14.183333333333334,0.5436917999830343,1.7197448596123905,3,4,463.541,413549.791,561944.8861273273,35.883247521052986,654818.3894855215,58.34088270292983,Add 2+ mid-rolls
27WNi57l-L8,【10分でわかる】さんばかてえてえまとめ①【アンジュ・カトリーナ/リゼ・ヘルエスタ/戌亥とこ/にじさんじ】,51.68333333333333,15.033333333333333,0.6374779018779234,2.5288388005634936,4,4,552.15,262158.29,338316.80563027645,29.050584526728663,338316.80563027645,29.050584526728663,Add 2+ mid-rolls
IfqMm5O2yKI,【グロ注意】開始７か月で累計56万突っ込んだアンジュのガチャ配信爆速まとめ【にじさんじ切り抜き】【アンジュ・カトリーナ】,68.23333333333333,18.3,0.6147122953056408,2.4102014869087385,4,5,485.52,220044.189,287777.8813822748,30.78185917569256,320337.98568711604,45.57893445989434,Add 2+ mid-rolls
4ZYJdZRvDwo,【イブアン①】初コラボからライバーの反応まで…劇薬てえてえ版【にじさんじ切り抜き】,31.516666666666666,10.45,0.6308400401531437,1.733043247277281,3,3,442.251,210519.944,303418.47447473893,44.12813755771232,303418.47447473893,44.12813755771232,Add 2+ mid-rolls
ROzfh_3D5Jo,【リゼるり①】初コラボから姉妹(?)になるまでの最高に「てえてえ」総集編【にじさんじ/切り抜き/リゼ・ヘルエスタ/栞葉るり】,61.733333333333334,19.266666666666666,0.5628764322894299,2.479142759479454,4,5,540.459,199285.446,250148.54677343467,25.522737256705973,275887.52352945,38.4383702206984,Add 2+ mid-rolls
yeahBDJu-Xg,【ベルアン捏造①】初コラボから当たりまくるアンジュ出会い（遭遇）編【にじさんじ切り抜き】,22.4,7.9,0.457764787277166,1.5625224709375873,2,2,469.116,148980.267,177334.10163282236,19.03193973522841,177334.10163282236,19.03193973522841,Add 1 mid-roll
4isid3PNoA8,【ベルアン捏造②】とにかくイチャつくアンジュとツンデレなベルさんの尊い関係編【にじさんじ切り抜き】,23.95,9.9,0.641731104127213,1.7327605303965314,2,3,467.447,142744.938,157248.83234216896,10.160706603949032,205554.11889619316,44.000986498164416,Add 1 mid-roll
aZ-PiV22CFs,【笹ベルアン争奪戦】笹木&アンジュに板挟み(意味深)になるベルさん編【にじさんじ切り抜き】,29.516666666666666,11.85,0.6383561043165599,1.8961802435073298,3,3,500.847,118204.595,158629.49510622997,34.19909361918627,158629.49510622997,34.19909361918627,Add 2+ mid-rolls
gufD7_XysaE,【劇場版ベルアン捏造①】出会い(遭遇)から結婚(捏造)までのてぇてぇやりとり総まとめ①【にじさんじ/アンジュカトリーナ/ベルモンドバンデラス】,66.6,20.333333333333332,0.7709581726490655,2.4972103582284815,5,6,547.472,80131.579,116779.49479935641,45.73467321710509,126687.98122608947,58.09994362658131,Add 2+ mid-rolls
L5nY1arYJ1M,【劇場版パパ?】初コラボから振り回される夢追パパと星川サラ(娘)の夢星家総まとめ,48.55,15.283333333333333,0.7541625658248526,1.68598643848886,4,4,612.671,59138.47,99515.99816369789,68.27624753176383,99515.99816369789,68.27624753176383,Add 2+ mid-rolls
bP_Vn19u6Y4,【てえてえ注意】とにかくイチャつくみこアンまとめ②【にじさんじ切り抜き/アンジュ・カトリーナ/竜胆尊】,35.266666666666666,14.516666666666667,0.5426076680672269,1.891923774954628,3,4,493.9,49973.537,65120.488073076725,30.309943987108067,76256.19072230745,52.59314289142163,Add 2+ mid-rolls
