video_id,title,published_at,length_sec,engaged_views,avg_watch_time,avg_view_pct,premium_jpy,page_ad_jpy,doubleclick_jpy,adsense_jpy,yt_ad_rev_jpy,ad_impressions,cpm_playback_jpy,cpm_jpy,rpm_jpy,monetized_playbacks,premium_views,premium_watch_hours,endscreen_clicks,endscreen_impressions,endscreen_ctr,views,watch_hours,subs_gained,est_revenue_jpy,impressions,impression_ctr,avg_watch_sec,format,rev_per_view,watch_hours_per_view,subs_per_1k_views,impressions_per_view,year,age_days,views_per_day,length_bin,tag
bv2iwq17LVY,【フレンとこ①】初コラボから尊敬する仲良し(神)になるまでの最高に「てえてえ」総集編(他のライバー反応あり)【にじさんじ/切り抜き/戍亥とこ/フレン・E・ルスタリオ/】,2024-02-22,3643.0,1395062,0:16:50,27.75,274928.156,500510.644,0.655,500509.989,909988.858,1902565.0,1144.99,478.296,555.558,794757.0,512947,149382.2231,3753,526067,0.71,1395062,391680.9063,1663,775439.244,21147529,3.14,1010,Long,0.5558457215521604,0.2807623648984776,1.1920617148198431,15.158845269959327,2024,793,1759.2206809583859,60m+,"compilation,teetee,first_collab,collab"
8zzMPgZ6bC8,【グロ注意】開始３か月で累計30万突っ込んだアンジュのガチャ配信爆速まとめ【にじさんじ切り抜き】【アンジュ・カトリーナ】,2023-12-29,2849.0,1096327,0:14:11,29.89,152203.381,261346.232,2.582,261343.65,475165.362,1025078.0,797.172,463.541,377.222,596064.0,298242,77165.0885,3827,491700,0.78,1096327,259330.5491,993,413549.791,29576551,2.35,851,Long,0.3772139069821322,0.23654488952657374,0.9057516598606072,26.977855147232532,2023,848,1292.8384433962265,40-50m,gacha
IfqMm5O2yKI,【グロ注意】開始７か月で累計56万突っ込んだアンジュのガチャ配信爆速まとめ【にじさんじ切り抜き】【アンジュ・カトリーナ】,2024-12-13,4094.0,377453,0:18:18,26.83,70703.413,149340.714,0.0,149340.714,271515.763,559227.0,1170.2,485.52,582.953,232025.0,115661,36632.2332,1094,149928,0.73,377453,115161.8187,388,220044.189,7924489,3.2,1098,Long,0.5829710957390721,0.3051024066572527,1.0279425517879046,20.99463774297727,2024,498,757.937751004016,60m+,gacha
4ZYJdZRvDwo,【イブアン①】初コラボからライバーの反応まで…劇薬てえてえ版【にじさんじ切り抜き】,2023-03-31,1891.0,626601,0:10:27,33.16,43884.366,166635.27,0.0,166635.27,302962.265,685046.0,766.44,442.251,335.8,395285.0,169408,30161.4619,10329,359826,2.87,626601,109133.8831,847,210519.944,10496627,3.65,627,Long,0.33597128635287843,0.17416806404713686,1.351737389503049,16.751692065604747,2023,1121,558.9661016949152,30-40m,"teetee,first_collab"
27WNi57l-L8,【10分でわかる】さんばかてえてえまとめ①【アンジュ・カトリーナ/リゼ・ヘルエスタ/戌亥とこ/にじさんじ】,2024-06-28,3101.0,389739,0:15:02,29.1,71342.402,190815.888,0.0,190815.888,346910.249,628290.0,1396.298,552.15,672.702,248450.0,134041,36038.2408,1004,52539,1.91,389739,97680.1755,459,262158.29,7089068,3.33,902,Long,0.6726509022704938,0.2506297175802268,1.1777112375204946,18.189270255222084,2024,666,585.1936936936937,50-60m,"compilation,teetee,collab"
ROzfh_3D5Jo,【リゼるり①】初コラボから姉妹(?)になるまでの最高に「てえてえ」総集編【にじさんじ/切り抜き/リゼ・ヘルエスタ/栞葉るり】,2025-05-23,3704.0,291055,0:19:16,31.21,78541.761,120743.611,0.0,120743.611,219509.232,406153.0,1339.876,540.459,684.561,163828.0,126182,42561.0542,993,119200,0.83,291055,93464.2843,370,199285.446,6135440,2.64,1156,Long,0.684700300630465,0.32112241432031746,1.2712373949940732,21.080002061466047,2025,337,863.6646884272997,60m+,"compilation,teetee,first_collab,collab"
yeahBDJu-Xg,【ベルアン捏造①】初コラボから当たりまくるアンジュ出会い（遭遇）編【にじさんじ切り抜き】,2023-03-10,1344.0,656206,0:07:54,35.34,27872.504,121107.623,0.0,121107.623,220185.845,469363.0,733.005,469.116,226.782,300388.0,142781,20941.3532,7921,362088,2.19,656206,86574.9433,1113,148980.267,12006792,3.58,474,Long,0.2270327717210754,0.13193256888842833,1.696113720386586,18.297290789782476,2023,1142,574.6112084063047,20-30m,"first_collab,collab"
4isid3PNoA8,【ベルアン捏造②】とにかくイチャつくアンジュとツンデレなベルさんの尊い関係編【にじさんじ切り抜き】,2023-06-16,1437.0,393922,0:09:54,41.35,30125.243,112619.598,0.0,112619.598,204755.056,438028.0,809.974,467.447,362.142,252792.0,100695,17389.0777,9908,202621,4.89,393922,65011.1564,517,142744.938,5626983,4.14,594,Long,0.36236853488761733,0.16503560704911124,1.312442564771706,14.284510639162068,2023,1044,377.3199233716475,20-30m,collab
aZ-PiV22CFs,【笹ベルアン争奪戦】笹木&アンジュに板挟み(意味深)になるベルさん編【にじさんじ切り抜き】,2023-06-02,1771.0,273667,0:11:51,40.2,26949.102,91255.304,0.0,91255.304,165908.958,331257.0,949.696,500.847,431.8,174697.0,73943,15319.4252,1838,102067,1.8,273667,54114.7281,284,118204.595,4074296,3.86,711,Long,0.43192856646946837,0.19773932589607077,1.0377575666777508,14.88778698198906,2023,1058,258.66446124763706,20-30m,collab
gufD7_XysaE,【劇場版ベルアン捏造①】出会い(遭遇)から結婚(捏造)までのてぇてぇやりとり総まとめ①【にじさんじ/アンジュカトリーナ/ベルモンドバンデラス】,2025-11-14,3996.0,101130,0:20:20,30.55,21472.734,58658.845,0.0,58658.845,106592.713,194700.0,1367.152,547.472,793.219,77967.0,33128,11844.4293,511,41895,1.22,101130,34293.3799,99,80131.579,1975129,3.3,1220,Long,0.7923620982893306,0.3391019469989123,0.9789380005932957,19.530594284584197,2025,162,624.2592592592592,60m+,"compilation,teetee,collab"
