pair_label,n,median_perf_idx,median_views_per_day,total_revenue,median_revenue,pct_of_total
アンジュ,9,0.4886351832181398,65.92809204218601,832443.564,17250.061,29.1
フレン × 戌亥とこ,1,12.74376230031306,1759.2206809583859,775439.244,775439.244,27.1
アンジュ × リゼ × 戌亥とこ,1,4.1778044692044425,585.1936936936937,262158.29,262158.29,9.2
アンジュ × ベル,2,3.3786442847590212,500.7895913154534,222876.517,111438.2585,7.8
イブラヒム,1,4.167876906356108,558.9661016949152,210519.944,210519.944,7.4
リゼ × 栞葉るり,1,5.824947062878033,863.6646884272997,199285.446,199285.446,7.0
アンジュ × ベル × 笹木,1,1.9194145196809573,258.66446124763706,118204.595,118204.595,4.1
アンジュ × サロメ,3,1.2020233452680615,186.55384615384617,67245.752,23279.159,2.4
夢追 × 星川,1,18.676448147175314,3398.5172413793102,59138.47,59138.47,2.1
アンジュ × 竜胆,2,0.983932979181696,132.2628628615148,49973.537,49973.537,1.7
アンジュ × リゼ,1,16.534785275124374,3197.4285714285716,23252.806,23252.806,0.8
リゼ × 鈴原るる,1,4.924113776468957,880.0,21402.04,21402.04,0.7
アンジュ × マリン,1,1.0183393594888837,136.22231833910035,10566.82,10566.82,0.4
アンジュ × 戌亥とこ,1,1.25777777548174,168.83588818755635,6333.434,6333.434,0.2
