video_id,title,published_at,length_sec,engaged_views,avg_watch_time,avg_view_pct,premium_jpy,page_ad_jpy,doubleclick_jpy,adsense_jpy,yt_ad_rev_jpy,ad_impressions,cpm_playback_jpy,cpm_jpy,rpm_jpy,monetized_playbacks,premium_views,premium_watch_hours,endscreen_clicks,endscreen_impressions,endscreen_ctr,views,watch_hours,subs_gained,est_revenue_jpy,impressions,impression_ctr,avg_watch_sec,format,rev_per_view,watch_hours_per_view,subs_per_1k_views,impressions_per_view,year,age_days,views_per_day,length_bin,tag,length_min,rev_per_day,expected_views,performance_index,gap_from_prev_days,gap_to_next_days,uploads_prev_90d,uploads_prev_180d,pub_year,pub_year_month,is_long_gap
tiGERav_1iQ,【アンマリその１】初コラボで殴り合うアンジュとマリン船長【にじさんじ/ホロライブ切り抜き】,2023-02-24,907.0,157473,0:05:38,37.28,2307.441,8259.379,0.0,8259.379,15016.313,37399.0,575.845,401.516,67.043,26077.0,40374,3874.9242,1623,80411,2.02,157473,14789.2533,261,10566.82,3712172,2.9,338,Long,0.0671024239075905,0.0939161208588139,1.6574269874835688,23.57338718383469,2023,1156,136.22231833910035,10-20m,"first_collab,collab",15.116666666666667,9.140847750865051,154637.05544980362,1.0183393594888837,,14.0,0.0,0.0,2023,2023-02,False
yeahBDJu-Xg,【ベルアン捏造①】初コラボから当たりまくるアンジュ出会い（遭遇）編【にじさんじ切り抜き】,2023-03-10,1344.0,656206,0:07:54,35.34,27872.504,121107.623,0.0,121107.623,220185.845,469363.0,733.005,469.116,226.782,300388.0,142781,20941.3532,7921,362088,2.19,656206,86574.9433,1113,148980.267,12006792,3.58,474,Long,0.2270327717210754,0.1319325688884283,1.696113720386586,18.29729078978248,2023,1142,574.6112084063047,20-30m,"first_collab,collab",22.4,130.45557530647986,152919.7842396488,4.291177909142379,14.0,21.0,1.0,1.0,2023,2023-03,False
4ZYJdZRvDwo,【イブアン①】初コラボからライバーの反応まで…劇薬てえてえ版【にじさんじ切り抜き】,2023-03-31,1891.0,626601,0:10:27,33.16,43884.366,166635.27,0.0,166635.27,302962.265,685046.0,766.44,442.251,335.8,395285.0,169408,30161.4619,10329,359826,2.87,626601,109133.8831,847,210519.944,10496627,3.65,627,Long,0.3359712863528784,0.1741680640471368,1.351737389503049,16.751692065604747,2023,1121,558.9661016949152,30-40m,"teetee,first_collab",31.516666666666666,187.79656021409454,150340.57244934922,4.167876906356108,21.0,12.0,2.0,2.0,2023,2023-03,False
E_nP6_LUwjE,【微グロ注意】見える世界が二人で変わる話題の最新ゲーム 2視点を比較【 違う冬のぼくら/戌亥とこ/アンジュ・カトリーナ/切り抜き/にじさんじ 】,2023-04-12,806.0,187239,0:04:50,36.1,1545.435,4787.999,0.0,4787.999,8705.1,27041.0,403.893,321.922,33.812,21553.0,34086,3665.1069,903,71395,1.26,187239,15131.5846,145,6333.434,3469339,4.1,290,Long,0.0338253996229418,0.0808142780083209,0.7744113138822575,18.528933608916947,2023,1109,168.83588818755635,10-20m,collab,13.433333333333334,5.710941388638413,148864.9296003706,1.25777777548174,12.0,16.0,3.0,3.0,2023,2023-04,False
tHjMQ8sV3QE,【みこアン①】からかい上手のみこと様と照れるアンジュまとめ/初デート編【にじさんじ/アンジュ・カトリーナ/竜胆尊/切り抜き】,2023-04-28,1649.0,166598,0:10:51,39.49,,,,,,,,,,,55295,10154.5932,2558,62604,4.09,166598,30137.6735,351,,2849835,3.42,651,Long,,0.1809005720356787,2.106868029628207,17.10605769577066,2023,1093,152.42268984446477,20-30m,collab,27.483333333333334,,146895.3282398852,1.134127286389528,16.0,6.0,4.0,4.0,2023,2023-04,False
bP_Vn19u6Y4,【てえてえ注意】とにかくイチャつくみこアンまとめ②【にじさんじ切り抜き/アンジュ・カトリーナ/竜胆尊】,2023-05-04,2116.0,121856,0:14:31,41.2,15988.957,33984.58,0.0,33984.58,61783.907,125094.0,934.421,493.9,409.998,66120.0,40629,10061.4752,1345,53399,2.52,121856,29511.666,215,49973.537,1378722,4.53,871,Long,0.4101032119879201,0.2421847590598739,1.7643776260504205,11.314354648109244,2023,1087,112.10303587856485,30-40m,"compilation,teetee,collab",35.266666666666666,45.9738150873965,146156.1087378947,0.833738671973864,6.0,29.0,5.0,5.0,2023,2023-05,False
aZ-PiV22CFs,【笹ベルアン争奪戦】笹木&アンジュに板挟み(意味深)になるベルさん編【にじさんじ切り抜き】,2023-06-02,1771.0,273667,0:11:51,40.2,26949.102,91255.304,0.0,91255.304,165908.958,331257.0,949.696,500.847,431.8,174697.0,73943,15319.4252,1838,102067,1.8,273667,54114.7281,284,118204.595,4074296,3.86,711,Long,0.4319285664694683,0.1977393258960707,1.0377575666777508,14.88778698198906,2023,1058,258.66446124763706,20-30m,collab,29.516666666666666,111.72456994328923,142578.37334974864,1.9194145196809573,29.0,14.0,5.0,6.0,2023,2023-06,False
4isid3PNoA8,【ベルアン捏造②】とにかくイチャつくアンジュとツンデレなベルさんの尊い関係編【にじさんじ切り抜き】,2023-06-16,1437.0,393922,0:09:54,41.35,30125.243,112619.598,0.0,112619.598,204755.056,438028.0,809.974,467.447,362.142,252792.0,100695,17389.0777,9908,202621,4.89,393922,65011.1564,517,142744.938,5626983,4.14,594,Long,0.3623685348876173,0.1650356070491112,1.312442564771706,14.284510639162068,2023,1044,377.3199233716475,20-30m,collab,23.95,136.72886781609196,140848.27155868342,2.79678263453787,14.0,1.0,5.0,7.0,2023,2023-06,False
6zA8ajECkDA,"【おめでとう🎉✨】３D版ツボおじクリアまでのまとめ/２日間で""てっぺんの景色""を見せくれたアンジュ【 OnlyUp!/アンジュ・カトリーナ/切り抜き/にじさんじ 】",2023-06-17,1127.0,68763,0:07:30,39.94,4845.1,12404.962,0.0,12404.962,22553.538,53052.0,571.091,425.121,250.862,39492.0,18810,2484.4461,685,32010,2.14,68763,8597.3963,57,17250.061,1208068,4.35,450,Long,0.2508625423556273,0.1250293951689135,0.8289341651760395,17.5685761237875,2023,1043,65.92809204218601,10-20m,other,18.783333333333335,16.538888782358583,140724.61902380525,0.4886351832181398,1.0,10.0,6.0,8.0,2023,2023-06,False
mK8tLKPPgT0,【爆笑😆】プレイほど味が出る！天才弁護士アンジュカトリーナの逆転裁判まとめ【 アンジュ・カトリーナ/切り抜き/にじさんじ 】,2023-06-27,617.0,32017,0:04:48,43.23,1219.765,4210.355,0.0,4210.355,7655.02,20551.0,482.358,372.489,169.599,15870.0,8481,737.015,290,17588,1.65,32017,2568.9106,54,5430.119,535041,4.59,288,Long,0.1696011181559796,0.0802358309647999,1.6866039916294469,16.71115344972983,2023,1033,30.994191674733784,10-20m,other,10.283333333333333,5.256649564375604,139487.54751516457,0.2295330340976798,10.0,165.0,7.0,9.0,2023,2023-06,False
