video_id,break_index,position_hms,position_sec,position_pct,real_reach_pct,synth_reach_pct,delta_pp,has_warning
27WNi57l-L8,1,0:02:31,151,4.9,49.4,78.3,-28.9,False
27WNi57l-L8,2,0:17:49,1069,34.5,31.3,44.4,-13.1,False
27WNi57l-L8,3,0:30:38,1838,59.3,25.7,25.5,0.2,False
27WNi57l-L8,4,0:43:45,2625,84.7,21.2,12.7,8.6,False
27WNi57l-L8,5,0:49:10,2950,95.1,20.2,7.9,12.2,False
4ZYJdZRvDwo,1,0:01:24,84,4.4,55.6,79.3,-23.7,False
4ZYJdZRvDwo,2,0:06:20,380,20.1,45.0,57.9,-12.9,False
4ZYJdZRvDwo,3,0:09:07,547,28.9,41.8,49.1,-7.3,False
4ZYJdZRvDwo,4,0:12:22,742,39.2,39.8,40.6,-0.9,False
4ZYJdZRvDwo,5,0:17:35,1055,55.8,36.5,27.9,8.6,False
4ZYJdZRvDwo,6,0:22:57,1377,72.8,35.8,18.6,17.2,False
4ZYJdZRvDwo,7,0:27:11,1631,86.3,32.0,11.9,20.1,False
4ZYJdZRvDwo,8,0:31:12,1872,99.0,23.3,6.4,16.9,False
8zzMPgZ6bC8,1,0:14:21,861,30.2,37.4,47.8,-10.4,False
8zzMPgZ6bC8,2,0:33:35,2015,70.7,40.8,19.6,21.2,True
IfqMm5O2yKI,1,0:05:53,353,8.6,37.1,72.2,-35.1,False
IfqMm5O2yKI,2,0:19:06,1146,28.0,28.4,50.0,-21.6,False
IfqMm5O2yKI,3,0:31:09,1869,45.7,27.7,35.5,-7.8,True
IfqMm5O2yKI,4,0:40:01,2401,58.6,25.0,25.9,-0.9,True
IfqMm5O2yKI,5,0:50:32,3032,74.1,22.8,18.0,4.8,False
IfqMm5O2yKI,6,1:00:10,3610,88.2,19.9,10.9,9.0,False
IfqMm5O2yKI,7,1:04:05,3845,93.9,18.4,8.4,9.9,False
bv2iwq17LVY,1,0:22:15,1335,36.6,31.6,42.7,-11.0,False
bv2iwq17LVY,2,0:22:15,1335,36.6,31.6,42.7,-11.0,False
bv2iwq17LVY,3,0:46:40,2800,76.9,23.3,16.6,6.8,False
bv2iwq17LVY,4,0:56:58,3418,93.8,18.3,8.5,9.8,False
bv2iwq17LVY,5,0:57:00,3420,93.9,18.3,8.4,9.9,False
bv2iwq17LVY,6,1:00:28,3628,99.6,17.1,6.2,10.9,False
