video_id,title,length_min,avg_watch_min,effective_slots,slots_per_min,pre_gap_min,slots_in_golden_zone,inserted_by,avg_view_pct,avg_view_pct_resid,avg_watch_min_resid,rpm_jpy,est_revenue_jpy
bv2iwq17LVY,【フレンとこ①】初コラボから尊敬する仲良し(神)になるまでの最高に「てえてえ」総,60.7,16.8,4,0.06589785831960461,22.25,0,manual,27.75,-1.6990754641966141,-0.90829505963681,555.558,775439.244
8zzMPgZ6bC8,【グロ注意】開始３か月で累計30万突っ込んだアンジュのガチャ配信爆速まとめ【にじ,47.5,14.2,2,0.042105263157894736,14.35,0,manual,29.89,-3.2381705953465243,-0.6390287669949988,377.222,413549.791
27WNi57l-L8,【10分でわかる】さんばかてえてえまとめ①【アンジュ・カトリーナ/リゼ・ヘルエス,51.7,15.0,5,0.09671179883945841,2.5166666666666666,1,manual,29.1,-2.85754941725337,-0.7519771328355755,672.702,262158.29
IfqMm5O2yKI,【グロ注意】開始７か月で累計56万突っ込んだアンジュのガチャ配信爆速まとめ【にじ,68.2,18.3,7,0.10263929618768328,5.883333333333334,1,manual,26.83,-0.5286805033159858,-1.0385599986378402,582.953,220044.189
4ZYJdZRvDwo,【イブアン①】初コラボからライバーの反応まで…劇薬てえてえ版【にじさんじ切り抜き,31.5,10.4,8,0.25396825396825395,1.4,3,manual,33.16,-4.427679845225214,-0.9611302304594691,335.8,210519.944
ROzfh_3D5Jo,【リゼるり①】初コラボから姉妹(?)になるまでの最高に「てえてえ」総集編【にじさ,61.7,19.3,4,0.06482982171799027,12.083333333333334,1,manual,31.21,2.039643863920805,1.3743362818297165,684.561,199285.446
yeahBDJu-Xg,【ベルアン捏造①】初コラボから当たりまくるアンジュ出会い（遭遇）編【にじさんじ切,22.4,7.9,2,0.08928571428571429,9.866666666666667,0,manual,35.34,-4.784025731093706,-1.4830754378048852,226.782,148980.267
4isid3PNoA8,【ベルアン捏造②】とにかくイチャつくアンジュとツンデレなベルさんの尊い関係編【に,24.0,9.9,4,0.16666666666666666,2.9833333333333334,2,manual,41.35,1.671925193894161,0.1691347085415611,362.142,142744.938
aZ-PiV22CFs,【笹ベルアン争奪戦】笹木&アンジュに板挟み(意味深)になるベルさん編【にじさんじ,29.5,11.8,6,0.2033898305084746,2.283333333333333,2,manual,40.2,2.054881498539963,0.8736070866074748,431.8,118204.595
gufD7_XysaE,【劇場版ベルアン捏造①】出会い(遭遇)から結婚(捏造)までのてぇてぇやりとり総ま,66.6,20.3,4,0.060060060060060066,12.283333333333331,1,manual,30.55,2.7453685716961473,1.3092298550157153,793.219,80131.579
L5nY1arYJ1M,【劇場版パパ?】初コラボから振り回される夢追パパと星川サラ(娘)の夢星家総まとめ,48.6,15.3,2,0.0411522633744856,14.866666666666667,1,manual,31.49,-1.3315793344173663,0.2218657086181839,599.657,59138.47
bP_Vn19u6Y4,【てえてえ注意】とにかくイチャつくみこアンまとめ②【にじさんじ切り抜き/アンジュ,35.3,14.5,6,0.16997167138810199,1.8333333333333333,3,manual,41.2,4.671453601620982,2.3128688671133446,409.998,49973.537
BtP5GcSnRvA,リスナーと一方的に結婚しイマジナリーな「しげみ」を出産し看取られるアンジュ・カト,27.0,12.4,4,0.14814814814814814,5.633333333333334,2,manual,45.88,7.038083178246417,2.017028732941151,456.593,25425.175
g5UgDFXpIYk,【てぇてえ総集編①】初コラボから夫婦(?)のようになるまでの最高にかわいい総まと,57.0,19.5,3,0.05263157894736842,12.116666666666667,1,manual,34.2,3.7196630217689446,2.59596897693703,637.483,23279.159
XsefWP-oKek,【劇場版てぇてぇ】初配信から100万人到達までのリゼアン総まとめ【にじさんじ/ア,74.4,19.0,4,0.05376344086021505,12.8,1,manual,25.49,-0.14062066898799586,-1.6862456815453584,515.222,23252.806
7Wp6dxj0J5o,【10分でわかる】皇女と美大生の出会いと別れそして復活まとめ①【にじさんじ/リゼ,48.6,12.3,4,0.0823045267489712,7.733333333333333,1,manual,25.31,-7.511579334417366,-2.778134291381816,675.812,21402.04
6zA8ajECkDA,"【おめでとう🎉✨】３D版ツボおじクリアまでのまとめ/２日間で""てっぺんの景色""を",18.8,7.5,6,0.3191489361702127,2.6,2,auto,39.94,-1.1874153123164106,-1.1005482670843918,250.862,17250.061
sPtG_pnU-xw,【てぇてえ総集編②】初コラボから最高にてぇてぇ関係になるまでの総まとめ編【にじさ,28.6,13.4,2,0.06993006993006992,11.183333333333334,1,manual,47.04,8.644034103234283,2.6692388792875956,599.107,15543.31
tiGERav_1iQ,【アンマリその１】初コラボで殴り合うアンジュとマリン船長【にじさんじ/ホロライブ,15.1,5.6,5,0.33112582781456956,1.0,2,auto,37.28,-4.878676826350855,-2.1962842305105506,67.043,10566.82
