feature,n_present,n_absent,ctr_present_med,ctr_absent_med,delta_pp,ctr_present_mean,ctr_absent_mean
has_emoji,2,26,4.47,3.38,1.09,4.47,3.4
has_second_index,3,25,4.3,3.33,0.97,4.32,3.38
has_warning_kw,5,23,4.1,3.42,0.68,3.75,3.42
has_punctuation_q,8,20,4.05,3.38,0.67,3.7,3.39
has_dekiru,3,25,3.33,3.58,-0.25,3.76,3.45
has_groke_warning,3,25,3.2,3.58,-0.38,3.22,3.51
has_teetee,9,19,3.3,3.75,-0.45,3.06,3.68
has_total,19,9,3.3,3.86,-0.56,3.3,3.85
has_number,4,24,2.9,3.62,-0.71,3.86,3.42
has_first_index,13,15,3.3,4.1,-0.8,3.12,3.79
has_first_collab,10,18,3.02,3.83,-0.81,2.92,3.79
has_gacha,2,26,2.78,3.62,-0.84,2.78,3.53
has_gekijo,3,25,2.64,3.65,-1.01,2.85,3.55
