metric,bv2iwq17LVY,8zzMPgZ6bC8,27WNi57l-L8,IfqMm5O2yKI,4ZYJdZRvDwo
動画長(分),0.8595825426944973,0.48292220113851997,0.6024667931688804,1.0735294117647058,0.028462998102466795
平均視聴率(%),-0.6571840857555143,-0.4807256235827664,-0.5458668315811172,-0.7330447330447333,-0.21109049680478276
平均視聴秒数,0.4924536438119879,0.21819749892194912,0.3061664510564899,0.6442432082794308,-0.16817593790426907
インプレッションCTR(%),-0.28124999999999994,-0.8984375000000001,-0.13281249999999997,-0.2343749999999999,0.11718749999999994
RPM(円),0.3457449335398238,-0.07785199190506505,0.6239940713152368,0.41081557419881987,-0.17624060578996867
登録/1k視聴,0.3202178979610293,-0.20232019792526046,0.2940271618929975,0.020687673773231243,0.6116384106642959
終了画面CTR(%),-0.7153846153846154,-0.6615384615384615,0.20769230769230773,-0.7000000000000001,0.9461538461538465
インプレッション/日,1.9252228138698773,2.608405259045849,0.5918926798412217,1.0302793864278412,0.4853313139160446
視聴/日,2.622172805763603,1.8263081394290877,0.618737594827642,0.9135191719545508,0.5739811438444855
収益/日,1.9165306781524711,0.83188791338774,0.6237885765296686,0.7304978553134459,0.1683282903283564
