video_id,title,published_at,length_sec,avg_watch_sec,views,est_revenue_jpy,status,slots_recorded,warnings,screenshot_on_disk,screenshots
bv2iwq17LVY,【フレンとこ①】初コラボから尊敬する仲良し(神)になるまでの最高に「てえてえ」総集編(他のライバー反応あり)【にじさんじ/切り抜き/戍亥とこ/フレン・E・ルスタリオ/】,2024-02-22,3643.0,1010,1395062,775439.244,ingested,6,0,False,bv2iwq17LVY.png
8zzMPgZ6bC8,【グロ注意】開始３か月で累計30万突っ込んだアンジュのガチャ配信爆速まとめ【にじさんじ切り抜き】【アンジュ・カトリーナ】,2023-12-29,2849.0,851,1096327,413549.791,ingested,2,1,False,8zzMPgZ6bC8.png
27WNi57l-L8,【10分でわかる】さんばかてえてえまとめ①【アンジュ・カトリーナ/リゼ・ヘルエスタ/戌亥とこ/にじさんじ】,2024-06-28,3101.0,902,389739,262158.29,ingested,5,0,False,27WNi57l-L8.png
IfqMm5O2yKI,【グロ注意】開始７か月で累計56万突っ込んだアンジュのガチャ配信爆速まとめ【にじさんじ切り抜き】【アンジュ・カトリーナ】,2024-12-13,4094.0,1098,377453,220044.189,ingested,7,2,False,IfqMm5O2yKI.png
4ZYJdZRvDwo,【イブアン①】初コラボからライバーの反応まで…劇薬てえてえ版【にじさんじ切り抜き】,2023-03-31,1891.0,627,626601,210519.944,ingested,8,0,False,4ZYJdZRvDwo.png
ROzfh_3D5Jo,【リゼるり①】初コラボから姉妹(?)になるまでの最高に「てえてえ」総集編【にじさんじ/切り抜き/リゼ・ヘルエスタ/栞葉るり】,2025-05-23,3704.0,1156,291055,199285.446,ingested,4,0,False,ROzfh_3D5Jo.png
yeahBDJu-Xg,【ベルアン捏造①】初コラボから当たりまくるアンジュ出会い（遭遇）編【にじさんじ切り抜き】,2023-03-10,1344.0,474,656206,148980.267,ingested,2,0,False,yeahBDJu-Xg.png
4isid3PNoA8,【ベルアン捏造②】とにかくイチャつくアンジュとツンデレなベルさんの尊い関係編【にじさんじ切り抜き】,2023-06-16,1437.0,594,393922,142744.938,ingested,4,0,False,4isid3PNoA8.png
aZ-PiV22CFs,【笹ベルアン争奪戦】笹木&アンジュに板挟み(意味深)になるベルさん編【にじさんじ切り抜き】,2023-06-02,1771.0,711,273667,118204.595,ingested,6,0,False,aZ-PiV22CFs.png
gufD7_XysaE,【劇場版ベルアン捏造①】出会い(遭遇)から結婚(捏造)までのてぇてぇやりとり総まとめ①【にじさんじ/アンジュカトリーナ/ベルモンドバンデラス】,2025-11-14,3996.0,1220,101130,80131.579,ingested,4,0,False,gufD7_XysaE.png
L5nY1arYJ1M,【劇場版パパ?】初コラボから振り回される夢追パパと星川サラ(娘)の夢星家総まとめ,2026-03-27,2913.0,917,98557,59138.47,ingested,2,0,False,L5nY1arYJ1M.png
bP_Vn19u6Y4,【てえてえ注意】とにかくイチャつくみこアンまとめ②【にじさんじ切り抜き/アンジュ・カトリーナ/竜胆尊】,2023-05-04,2116.0,871,121856,49973.537,ingested,6,0,False,bP_Vn19u6Y4.png
UmG9xMcpWAE,【熟年夫婦?】アンジュとサロメが見る酔っ払い新年配信が湿度高めで面白い【にさんじ/切り抜き】,2025-01-05,288.0,161,151745,28423.283,pending,0,0,False,
BtP5GcSnRvA,リスナーと一方的に結婚しイマジナリーな「しげみ」を出産し看取られるアンジュ・カトリーナ狂気まとめ①【アンジュ・カトリーナ/にじさんじ切り抜き】,2024-03-29,1617.0,741,55705,25425.175,pending,0,0,False,
g5UgDFXpIYk,【てぇてえ総集編①】初コラボから夫婦(?)のようになるまでの最高にかわいい総まとめ編【にじさんじ切り抜き/アンジュ・カトリーナ/壱百満天原サロメ】,2025-10-12,3417.0,1168,36378,23279.159,pending,0,0,False,
XsefWP-oKek,【劇場版てぇてぇ】初配信から100万人到達までのリゼアン総まとめ【にじさんじ/アンジュ・カトリーナ/リゼ・ヘルエスタ】,2026-04-11,4466.0,1138,44764,23252.806,ingested,4,0,False,XsefWP-oKek.png
7Wp6dxj0J5o,【10分でわかる】皇女と美大生の出会いと別れそして復活まとめ①【にじさんじ/リゼへルエスタ/鈴原るる】,2026-03-20,2917.0,738,31680,21402.04,ingested,4,0,False,7Wp6dxj0J5o.png
6zA8ajECkDA,"【おめでとう🎉✨】３D版ツボおじクリアまでのまとめ/２日間で""てっぺんの景色""を見せくれたアンジュ【 OnlyUp!/アンジュ・カトリーナ/切り抜き/にじさんじ 】",2023-06-17,1127.0,450,68763,17250.061,pending,0,0,False,
sPtG_pnU-xw,【てぇてえ総集編②】初コラボから最高にてぇてぇ関係になるまでの総まとめ編【にじさんじ切り抜き/アンジュ・カトリーナ/壱百満天原サロメ】,2025-10-31,1717.0,807,25917,15543.31,pending,0,0,False,
tiGERav_1iQ,【アンマリその１】初コラボで殴り合うアンジュとマリン船長【にじさんじ/ホロライブ切り抜き】,2023-02-24,907.0,338,157473,10566.82,pending,0,0,False,
E_nP6_LUwjE,【微グロ注意】見える世界が二人で変わる話題の最新ゲーム 2視点を比較【 違う冬のぼくら/戌亥とこ/アンジュ・カトリーナ/切り抜き/にじさんじ 】,2023-04-12,806.0,290,187239,6333.434,pending,0,0,False,
mK8tLKPPgT0,【爆笑😆】プレイほど味が出る！天才弁護士アンジュカトリーナの逆転裁判まとめ【 アンジュ・カトリーナ/切り抜き/にじさんじ 】,2023-06-27,617.0,288,32017,5430.119,pending,0,0,False,
06cMtCNFOTI,【激かわ】デビューした新人にカトリーナ面接をさせご満悦のアンジュまとめ【にじさんじ切り抜き/アンジュ・カトリーナ】,2023-12-09,233.0,108,10732,1732.114,pending,0,0,False,
7FyovEYud1A,【10分でわかる】皇女と美大生の出会いと別れそして復活まとめ①【にじさんじ/リゼへルエスタ/鈴原るる】,2026-03-19,2939.0,802,925,909.812,pending,0,0,False,
2g2QaBEWz5I,【泥酔】正月に酒を飲み、真理に辿り着くにじさんじの錬金術師ww【アンジュカトリーナ】,2025-01-04,79.0,40,1429,21.339,pending,0,0,False,
vp72-fovks4,【100万人懺悔!?】記念配信でずっと言えなかったデビュー時の嘘を泣きながら謝る配信に...【にじさんじ／アンジュ・カトリーナ】,2026-04-08,271.0,118,76,10.509,pending,0,0,False,
cbEDMw-fPWc,【リゼるりてぇてぇ①】初コラボから姉妹(?)になるまでの最高に「てえてえ」総集編【にじさんじ/切り抜き/リゼ・ヘルエスタ/栞葉るり】,2025-05-23,3704.0,65,5,0.62,pending,0,0,False,
tHjMQ8sV3QE,【みこアン①】からかい上手のみこと様と照れるアンジュまとめ/初デート編【にじさんじ/アンジュ・カトリーナ/竜胆尊/切り抜き】,2023-04-28,1649.0,651,166598,,pending,0,0,False,
