video_id,position_sec,position_pct,retention_pct,source,note
4ZYJdZRvDwo,0,0.00,100.0,visual_estimate,
4ZYJdZRvDwo,5,0.26,90.0,visual_estimate,
4ZYJdZRvDwo,15,0.79,75.0,visual_estimate,
4ZYJdZRvDwo,30,1.59,67.0,studio_annotation,typical for category
4ZYJdZRvDwo,60,3.17,58.0,visual_estimate,
4ZYJdZRvDwo,120,6.35,52.0,visual_estimate,
4ZYJdZRvDwo,180,9.52,50.0,visual_estimate,
4ZYJdZRvDwo,300,15.87,45.0,visual_estimate,small dip
4ZYJdZRvDwo,360,19.04,46.0,visual_estimate,recovery bump
4ZYJdZRvDwo,420,22.21,43.0,visual_estimate,
4ZYJdZRvDwo,540,28.56,42.0,visual_estimate,bump
4ZYJdZRvDwo,600,31.73,40.0,visual_estimate,
4ZYJdZRvDwo,720,38.07,40.0,visual_estimate,
4ZYJdZRvDwo,900,47.59,38.0,visual_estimate,
4ZYJdZRvDwo,946,50.03,37.0,visual_estimate,midpoint near 15:46
4ZYJdZRvDwo,1020,53.94,38.0,visual_estimate,bump (~17:00)
4ZYJdZRvDwo,1140,60.29,33.0,visual_estimate,
4ZYJdZRvDwo,1260,66.63,35.0,visual_estimate,
4ZYJdZRvDwo,1350,71.39,37.0,visual_estimate,bump (~22:30)
4ZYJdZRvDwo,1440,76.15,33.0,visual_estimate,
4ZYJdZRvDwo,1560,82.50,32.0,visual_estimate,
4ZYJdZRvDwo,1680,88.84,32.0,visual_estimate,bump (~28:00)
4ZYJdZRvDwo,1800,95.19,28.0,visual_estimate,
4ZYJdZRvDwo,1891,100.00,22.0,visual_estimate,end (slight final drop)
