コンテンツ,動画のタイトル,動画公開時刻,長さ,インプレッション数,インプレッションのクリック率 (%),YouTube Premium の視聴回数,YouTube Premium 総再生時間（単位: 時間）,高評価率（低評価比） (%),視聴を継続 (%),ユニーク視聴者数,平均視聴率 (%),総再生時間（単位: 時間）,推定収益 (JPY),視聴回数,RPM (JPY)
合計,,,,131729814,3.19,2126448,506126.0271,98.41,91.84,0,30.96,1502244.014,2858079.562,6963517,410.363
8zzMPgZ6bC8,【グロ注意】開始３か月で累計30万突っ込んだアンジュのガチャ配信爆速まとめ【にじさんじ切り抜き】【アンジュ・カトリーナ】,"Dec 29, 2023",2849,29576551,2.35,298242,77165.0885,96.71,100,,29.89,259330.5491,413497.724,1096327,377.222
bv2iwq17LVY,【フレンとこ①】初コラボから尊敬する仲良し(神)になるまでの最高に「てえてえ」総集編(他のライバー反応あり)【にじさんじ/切り抜き/戍亥とこ/フレン・E・ルスタリオ/】,"Feb 22, 2024",3643,21147529,3.14,512947,149382.2231,98.48,100,,27.75,391680.9063,775069.804,1395062,555.558
yeahBDJu-Xg,【ベルアン捏造①】初コラボから当たりまくるアンジュ出会い（遭遇）編【にじさんじ切り抜き】,"Mar 10, 2023",1344,12006792,3.58,142781,20941.3532,98.72,100,,35.34,86574.9433,148934.198,656206,226.782
4ZYJdZRvDwo,【イブアン①】初コラボからライバーの反応まで…劇薬てえてえ版【にじさんじ切り抜き】,"Mar 31, 2023",1891,10496627,3.65,169408,30161.4619,99.02,100,,33.16,109133.8831,210439.494,626601,335.8
IfqMm5O2yKI,【グロ注意】開始７か月で累計56万突っ込んだアンジュのガチャ配信爆速まとめ【にじさんじ切り抜き】【アンジュ・カトリーナ】,"Dec 13, 2024",4094,7924489,3.2,115661,36632.2332,96.35,100,,26.83,115161.8187,219964.266,377453,582.953
27WNi57l-L8,【10分でわかる】さんばかてえてえまとめ①【アンジュ・カトリーナ/リゼ・ヘルエスタ/戌亥とこ/にじさんじ】,"Jun 28, 2024",3101,7089068,3.33,134041,36038.2408,98.66,,,29.1,97680.1755,261987.857,389739,672.702
ROzfh_3D5Jo,【リゼるり①】初コラボから姉妹(?)になるまでの最高に「てえてえ」総集編【にじさんじ/切り抜き/リゼ・ヘルエスタ/栞葉るり】,"May 23, 2025",3704,6135440,2.64,126182,42561.0542,98.45,100,,31.21,93464.2843,199195.876,291055,684.561
4isid3PNoA8,【ベルアン捏造②】とにかくイチャつくアンジュとツンデレなベルさんの尊い関係編【にじさんじ切り抜き】,"Jun 16, 2023",1437,5626983,4.14,100695,17389.0777,98.55,100,,41.35,65011.1564,142661.196,393922,362.142
aZ-PiV22CFs,【笹ベルアン争奪戦】笹木&アンジュに板挟み(意味深)になるベルさん編【にじさんじ切り抜き】,"Jun 2, 2023",1771,4074296,3.86,73943,15319.4252,98.36,100,,40.2,54114.7281,118166.077,273667,431.8
tiGERav_1iQ,【アンマリその１】初コラボで殴り合うアンジュとマリン船長【にじさんじ/ホロライブ切り抜き】,"Feb 24, 2023",907,3712172,2.9,40374,3874.9242,98.86,,,37.28,14789.2533,10562.797,157473,67.043
