コンテンツ,動画のタイトル,動画公開時刻,長さ,エンゲージ ビュー,平均視聴時間,平均視聴率 (%),YouTube Premium (JPY),動画再生ページの広告 (JPY),推定 DoubleClick 収益 (JPY),推定 AdSense 収益 (JPY),YouTube 広告収益 (JPY),広告の表示回数,再生回数に基づく CPM (JPY),CPM (JPY),RPM (JPY),収益化対象の推定再生回数,YouTube Premium の視聴回数,YouTube Premium 総再生時間（単位: 時間）,終了画面要素のクリック数,終了画面要素の表示回数,終了画面要素のクリック率 (%),視聴回数,総再生時間（単位: 時間）,チャンネル登録者,推定収益 (JPY),インプレッション数,インプレッションのクリック率 (%)
合計,,,,8061757,0:11:09,31.03,888971.372,1975047.224,3.237,1975043.987,3590486.255,7375415,973.471,486.818,356.91,3688335,2395438,504721.8151,49835,2841841,1.75,8090412,1499922.538,8708,2881023.983,129776873,3.18
bv2iwq17LVY,【フレンとこ①】初コラボから尊敬する仲良し(神)になるまでの最高に「てえてえ」総集編(他のライバー反応あり)【にじさんじ/切り抜き/戍亥とこ/フレン・E・ルスタリオ/】,"Feb 22, 2024",3643,1395062,0:16:50,27.75,274928.156,500510.644,0.655,500509.989,909988.858,1902565,1144.99,478.296,555.558,794757,512947,149382.2231,3753,526067,0.71,1395062,391680.9063,1663,775439.244,21147529,3.14
8zzMPgZ6bC8,【グロ注意】開始３か月で累計30万突っ込んだアンジュのガチャ配信爆速まとめ【にじさんじ切り抜き】【アンジュ・カトリーナ】,"Dec 29, 2023",2849,1096327,0:14:11,29.89,152203.381,261346.232,2.582,261343.65,475165.362,1025078,797.172,463.541,377.222,596064,298242,77165.0885,3827,491700,0.78,1096327,259330.5491,993,413549.791,29576551,2.35
IfqMm5O2yKI,【グロ注意】開始７か月で累計56万突っ込んだアンジュのガチャ配信爆速まとめ【にじさんじ切り抜き】【アンジュ・カトリーナ】,"Dec 13, 2024",4094,377453,0:18:18,26.83,70703.413,149340.714,0,149340.714,271515.763,559227,1170.2,485.52,582.953,232025,115661,36632.2332,1094,149928,0.73,377453,115161.8187,388,220044.189,7924489,3.2
4ZYJdZRvDwo,【イブアン①】初コラボからライバーの反応まで…劇薬てえてえ版【にじさんじ切り抜き】,"Mar 31, 2023",1891,626601,0:10:27,33.16,43884.366,166635.27,0,166635.27,302962.265,685046,766.44,442.251,335.8,395285,169408,30161.4619,10329,359826,2.87,626601,109133.8831,847,210519.944,10496627,3.65
27WNi57l-L8,【10分でわかる】さんばかてえてえまとめ①【アンジュ・カトリーナ/リゼ・ヘルエスタ/戌亥とこ/にじさんじ】,"Jun 28, 2024",3101,389739,0:15:02,29.1,71342.402,190815.888,0,190815.888,346910.249,628290,1396.298,552.15,672.702,248450,134041,36038.2408,1004,52539,1.91,389739,97680.1755,459,262158.29,7089068,3.33
ROzfh_3D5Jo,【リゼるり①】初コラボから姉妹(?)になるまでの最高に「てえてえ」総集編【にじさんじ/切り抜き/リゼ・ヘルエスタ/栞葉るり】,"May 23, 2025",3704,291055,0:19:16,31.21,78541.761,120743.611,0,120743.611,219509.232,406153,1339.876,540.459,684.561,163828,126182,42561.0542,993,119200,0.83,291055,93464.2843,370,199285.446,6135440,2.64
yeahBDJu-Xg,【ベルアン捏造①】初コラボから当たりまくるアンジュ出会い（遭遇）編【にじさんじ切り抜き】,"Mar 10, 2023",1344,656206,0:07:54,35.34,27872.504,121107.623,0,121107.623,220185.845,469363,733.005,469.116,226.782,300388,142781,20941.3532,7921,362088,2.19,656206,86574.9433,1113,148980.267,12006792,3.58
4isid3PNoA8,【ベルアン捏造②】とにかくイチャつくアンジュとツンデレなベルさんの尊い関係編【にじさんじ切り抜き】,"Jun 16, 2023",1437,393922,0:09:54,41.35,30125.243,112619.598,0,112619.598,204755.056,438028,809.974,467.447,362.142,252792,100695,17389.0777,9908,202621,4.89,393922,65011.1564,517,142744.938,5626983,4.14
aZ-PiV22CFs,【笹ベルアン争奪戦】笹木&アンジュに板挟み(意味深)になるベルさん編【にじさんじ切り抜き】,"Jun 2, 2023",1771,273667,0:11:51,40.2,26949.102,91255.304,0,91255.304,165908.958,331257,949.696,500.847,431.8,174697,73943,15319.4252,1838,102067,1.8,273667,54114.7281,284,118204.595,4074296,3.86
gufD7_XysaE,【劇場版ベルアン捏造①】出会い(遭遇)から結婚(捏造)までのてぇてぇやりとり総まとめ①【にじさんじ/アンジュカトリーナ/ベルモンドバンデラス】,"Nov 14, 2025",3996,101130,0:20:20,30.55,21472.734,58658.845,0,58658.845,106592.713,194700,1367.152,547.472,793.219,77967,33128,11844.4293,511,41895,1.22,101130,34293.3799,99,80131.579,1975129,3.3
tHjMQ8sV3QE,【みこアン①】からかい上手のみこと様と照れるアンジュまとめ/初デート編【にじさんじ/アンジュ・カトリーナ/竜胆尊/切り抜き】,"Apr 28, 2023",1649,166598,0:10:51,39.49,,,,,,,,,,,55295,10154.5932,2558,62604,4.09,166598,30137.6735,351,,2849835,3.42
bP_Vn19u6Y4,【てえてえ注意】とにかくイチャつくみこアンまとめ②【にじさんじ切り抜き/アンジュ・カトリーナ/竜胆尊】,"May 4, 2023",2116,121856,0:14:31,41.2,15988.957,33984.58,0,33984.58,61783.907,125094,934.421,493.9,409.998,66120,40629,10061.4752,1345,53399,2.52,121856,29511.666,215,49973.537,1378722,4.53
L5nY1arYJ1M,【劇場版パパ?】初コラボから振り回される夢追パパと星川サラ(娘)の夢星家総まとめ,"Mar 27, 2026",2913,98557,0:15:17,31.49,16839.884,42298.586,0,42298.586,76777.449,125316,1032.955,612.671,599.657,74328,34273,9580.7897,0,0,,98557,25111.2541,89,59138.47,2795789,2.64
